Date,x_train,y_train
1/01/2019,HAROLD HOLT AQUATIC CN,Swimming
1/01/2019,PEXA             MNTH RWAR01,Income
1/01/2019,PUBLIC TRANSPORT VICT,Myki
1/01/2019,WOOLWORTHS 3136,Supermarket
1/01/2019,The Common Man,Food
1/01/2019,PAYPAL *UBER AU,Taxi
1/01/2019,PUBLIC TRANSPORT VICT,Myki
1/01/2019,Powershop - Direct Debit,Bills
1/01/2019,LAKEHOUSE RETREAT PT,Food
1/01/2019,WOOLWORTHS 3089,Supermarket
1/01/2019,BETTY'S BURGERS AUSTRA,Food
1/01/2019,VILLAGE SOUTHLAND,Entertainment
1/01/2019,BETTY'S BURGERS AUSTRA,Food
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,PUBLIC TRANSPORT VICT,Myki
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,Internal Transfer - Internal Transfer,Internal transfer
1/01/2019,International Transaction Fee Rebate,International Fee
1/01/2019,International Transaction Fee,International Fee
1/01/2019,LONG SHOT COFFEE,Food
1/01/2019,Jane Doe costco - Transfer to +61-452401454,Supermarket
1/01/2019,Mr. Miyagi,Food
1/01/2019,CAFE ANDIAMO,Food
1/01/2019,Powershop - Direct Debit,Bills
1/01/2019,HEPBURN BATH HOUSE,Entertainment
1/01/2019,Powershop - Direct Debit,Bills
1/01/2019,MR Jane Doe bills - Deposit,Bills
1/01/2019,International Transaction Fee Rebate,International Fee
1/01/2019,International Transaction Fee,International Fee
1/01/2019,PAYPAL *NINTENDO,Entertainment
1/01/2019,WOOLWORTHS 3161,Supermarket
1/01/2019,International Transaction Fee Rebate,International Fee
1/01/2019,International Transaction Fee,International Fee
1/01/2019,PAYPAL *NINTENDO,Entertainment
1/01/2019,WOOLWORTHS 3161,Supermarket
1/01/2019,SALSAS PTY LTD,Food
1/12/2018,Jane Doe  Champagne ,Food
1/12/2018,RIVA ST KILDA,Food
1/12/2018,RIVA ST KILDA,Food
1/12/2018,Bonus Interest Credit,Interest
1/12/2018,Interest Credit,Interest
1/12/2018,International Transaction Fee Rebate,International Fee
1/12/2018,International Transaction Fee,International Fee
1/12/2018,PAYPAL *SPOTIFY,Spotify
1/12/2018,Jane Doe happy new yr - Transfer to +61-452401454,Food
1/12/2018,Powershop - Direct Debit,Bills
1/12/2018,Jane Doe dinner - Osko Payment to 013220 370159772,Food
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,WESTFIELD SOUTHLAND,Car
1/12/2018,International Transaction Fee Rebate,International Fee
1/12/2018,International Transaction Fee,International Fee
1/12/2018,ZAMBREROS SOUTHLAND,Food
1/12/2018,HAROLD HOLT AQUATIC CN,Swimming
1/12/2018,VJJ VENTURE PTY LTD,Food
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,Yao Mexico City - Ryan - Osko Payment to 063159 10421994,Food
1/12/2018,Tracy Le Armenian Luncheon - Ryan - Osko Payment to 063158 10082067,Food
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,GUZMAN Y GOMEZ MLC C,Food
1/12/2018,AUSONE MELB PTY LTD,Food
1/12/2018,PROPERTY EXCHANG T5640624006,Income
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,GM CABS PTY LTD,Taxi
1/12/2018,BLACK CAB VIC 132227,Taxi
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,PEXA             MNTH RWAR01,Income
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,MOLLY DENE,Food
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,Powershop - Direct Debit,Bills
1/12/2018,Powershop - Direct Debit,Bills
1/12/2018,International Transaction Fee Rebate,International Fee
1/12/2018,International Transaction Fee,International Fee
1/12/2018,PAYPAL *EBAYMARKETP,Entertainment
1/12/2018,JB HI FI,Entertainment
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,HAROLD HOLT AQUATIC CN,Swimming
1/12/2018,car insurance - BPAY Bill Payment,Car
1/12/2018,PROPERTY EXCHANG T5640559855,Income
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,AUSONE MELB PTY LTD,Food
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,BLUE BAR,Food
1/12/2018,BON BON BOY COLL SQ,Food
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,GREAT EARTH PTY LTD,Food
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,CABINET BAR,Food
1/12/2018,HAROLD HOLT AQUATIC CN,Swimming
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,PAPADAM DOCKLANDS,Food
1/12/2018,MS Jane Doe Bills - Deposit,Bills
1/12/2018,Jane Doe      GovHack ,Income
1/12/2018,TRACY'S BANH MI,Food
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,CBA              St Leonards ,Income
1/12/2018,Internal Transfer,Internal transfer
1/12/2018,Powershop - Direct Debit,Bills
1/12/2018,MR Jane Doe Bills - Deposit,Bills
1/12/2018,HORACE STREET,Food
1/12/2018,WOOLWORTHS 3452,Supermarket
1/12/2018,laksa tofu - Transfer to Jane Doe,Food
1/12/2018,COLES 0671,Supermarket
1/12/2018,HAROLD HOLT AQUATIC CN,Swimming
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,Jane Doe ,Food
1/12/2018,Jane Doe ,Food
1/12/2018,PUBLIC TRANSPORT VICT,Myki
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,Mexico City - Transfer to Jane Doe,Food
1/12/2018,Internal Transfer - Internal Transfer,Internal transfer
1/12/2018,PAPADAM DOCKLANDS,Food
1/12/2018,PAYPAL *UBER AU,Taxi
1/12/2018,Internal Transfer,Internal transfer
1/11/2018,International Transaction Fee Rebate,International Fee
1/11/2018,International Transaction Fee,International Fee
1/11/2018,PAYPAL *SPOTIFY,Spotify
1/11/2018,SMP*Zilia,Food
1/11/2018,GM CABS PTY LTD,Taxi
1/11/2018,Bonus Interest Credit,Interest
1/11/2018,Interest Credit,Interest
1/11/2018,Mecca Espresso Pty Lt,Food
1/11/2018,OlaCabs,Taxi
1/11/2018,PAYPAL *UBER AU,Taxi
1/11/2018,GM CABS PTY LTD,Taxi
1/11/2018,Bun Me - MLC,Food
1/11/2018,MOLLY DENE,Food
1/11/2018,OlaCabs,Taxi
1/11/2018,WOOLWORTHS 3452,Supermarket
1/11/2018,COLES 0671,Supermarket
1/11/2018,WOOLWORTHS 3762,Supermarket
1/11/2018,PUBLIC TRANSPORT VICT,Myki
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,619 PTY LTD,Food
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,PUBLIC TRANSPORT VICT,Myki
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,MOCHA and LIME,Food
1/11/2018,LINDLAN PTY LTD,Food
1/11/2018,LINDLAN PTY LTD,Food
1/11/2018,LINDLAN PTY LTD,Food
1/11/2018,PEXA             MNTH RWAR01,Income
1/11/2018,PEXA             MNTH RWAR01,Income
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,Powershop - Direct Debit,Bills
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,THE PRESS CLUB RESTAUR,Food
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,TAHINI COLLIN SQUARE,Food
1/11/2018,619 PTY LTD,Food
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,PROPERTY EXCHANG T5640427816,Income
1/11/2018,Powershop - Direct Debit,Bills
1/11/2018,PUBLIC TRANSPORT VICT,Myki
1/11/2018,PAYPAL *UBER AU,Taxi
1/11/2018,MOLLY DENE,Food
1/11/2018,MELBOURNE CENTRAL PH,Food
1/11/2018,water bill - BPAY Bill Payment,Bills
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,Internal Transfer - Internal Transfer,Internal transfer
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,Internal Transfer,Internal transfer
1/11/2018,The Corner Hotel,Food
1/11/2018,MOLLY DENE,Food
1/11/2018,AUSONE MELB PTY LTD,Food
1/11/2018,CRUST BALACLAVA,Food
1/11/2018,Mill House,Food
1/11/2018,Mill House,Food
1/11/2018,PUBLIC TRANSPORT VICT,Myki
1/11/2018,SUBWAY COLLINS SQUAR,Food
1/11/2018,Powershop - Direct Debit,Bills
1/11/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,AUSONE MELB PTY LTD,Food
1/10/2018,KIN VIETNAMESE REST,Food
1/10/2018,WOOLWORTHS 3762,Supermarket
1/10/2018,Bonus Interest Credit,Interest
1/10/2018,Interest Credit,Interest
1/10/2018,International Transaction Fee Rebate,International Fee
1/10/2018,International Transaction Fee,International Fee
1/10/2018,PAYPAL *SPOTIFY,Spotify
1/10/2018,BP BAYSIDE 4216,Food
1/10/2018,MTC SOUTHBANK,Food
1/10/2018,PROPERTY EXCHANG T5640427815,Income
1/10/2018,PAYPAL *THE ICONIC 202,Entertainment
1/10/2018,CHAPEL OFF CHAPEL,Food
1/10/2018,MS Jane Doe Splurge costs - Deposit,Bills
1/10/2018,MS Jane Doe MTC subscription - Deposit,Bills
1/10/2018,MS Jane Doe Bills - Deposit,Bills
1/10/2018,Internal Transfer - Internal Transfer,Internal transfer
1/10/2018,Internal Transfer - Internal Transfer,Internal transfer
1/10/2018,KUAYBOY PTY LTD,Food
1/10/2018,CREATIVE SHED PTY LT,Food
1/10/2018,DILMA TAXI P/L M0086,Food
1/10/2018,Internal Transfer,Internal transfer
1/10/2018,Internal Transfer,Internal transfer
1/10/2018,International Transaction Fee Rebate,International Fee
1/10/2018,International Transaction Fee,International Fee
1/10/2018,PAYPAL *BOOKDEPOSIT,Entertainment
1/10/2018,Mill House,Food
1/10/2018,Mill House,Food
1/10/2018,MENSOUSAI MUGEN,Food
1/10/2018,7-ELEVEN 2061,Food
1/10/2018,515 KENT ST PTY LTD,Food
1/10/2018,TASTE BAGUETTE DARLNG,Food
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,PAYPAL *UBER AU,Taxi
1/10/2018,Watermark,Food
1/10/2018,BAMBOO LOUNGE CAFE,Food
1/10/2018,GRILLD PTY LTD - SOU,Food
1/10/2018,International Transaction Fee Rebate,International Fee
1/10/2018,International Transaction Fee,International Fee
1/10/2018,MR Aaron Mendonsa  - Deposit,Food
1/10/2018,VANDENSCHR J ramen. - Osko Payment,Food
1/10/2018,DENVER STOVE DENVERRAMEN - Osko Payment,Food
1/10/2018,Jane Doe ramen thx - Osko Payment,Food
1/10/2018,Powershop - Direct Debit,Bills
1/10/2018,PAPADAM DOCKLANDS,Food
1/10/2018,MOLLY DENE,Food
1/10/2018,Internal Transfer - Internal Transfer,Internal transfer
1/10/2018,Internal Transfer - Internal Transfer,Internal transfer
1/10/2018,Internal Transfer,Internal transfer
1/10/2018,Internal Transfer,Internal transfer
1/10/2018,OlaCabs,Taxi
1/10/2018,OlaCabs,Taxi
1/10/2018,PAYPAL *UBER AU,Taxi
1/10/2018,Internal Transfer - Internal Transfer,Internal transfer
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,Internal Transfer,Internal transfer
1/10/2018,Powershop - Direct Debit,Bills
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,PEXA             MNTH RWAR01,Income
1/10/2018,Powershop - Direct Debit,Bills
1/10/2018,WOOLWORTHS 3161,Supermarket
1/10/2018,DAN MURPHY'S 3379,Food
1/10/2018,VJJ VENTURE PTY LTD,Food
1/10/2018,PROPERTY EXCHANG T5640277752,Income
1/10/2018,PAYPAL *UBER AU,Taxi
1/10/2018,MOON DOG BREWING PTY,Food
1/10/2018,MOON DOG BREWING PTY,Food
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,Melb Onstreet,Food
1/10/2018,WOOLWORTHS 3089,Supermarket
1/10/2018,Melb Onstreet,Food
1/10/2018,Women&#39;s Melbourne Network comedy ... - Osko Payment to 063019 11996119,Entertainment
1/10/2018,HARDWARE ST CAFE,Food
1/10/2018,Powershop - Direct Debit,Bills
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,PUBLIC TRANSPORT VICT,Myki
1/10/2018,MR Jane Doe bills - Deposit,Bills
1/10/2018,GM CABS PTY LTD,Taxi
1/10/2018,MR Jane Doe,Bills
1/10/2018,TRYBOOKING WOMENS MELB,Food
1/10/2018,INDII OF BRIGHTON,Food
1/10/2018,WOOLWORTHS 3452,Supermarket
1/10/2018,NAMA NAMA AND HIHOU,Food
1/10/2018,CBA              ET Reimbursement ,Food
1/10/2018,Jane Doe bday - Internal Transfer,Internal transfer
1/10/2018,Jane Doe bday,Food
1/10/2018,EZARD Restaurant,Food
1/10/2018,HAMMOCK TIME PTY LTD,Food
1/10/2018,YGAP POLISHED MAN,Food
1/10/2018,Powershop - Direct Debit,Bills
1/10/2018,transfer - Internal Transfer,Internal transfer
1/10/2018,transfer,Internal transfer
1/10/2018,Jane Doe groceries - Transfer to 923100 0062592471,Supermarket
1/10/2018,myki-tnfr02OCT18 - Direct Debit,Myki
1/10/2018,WOOLWORTHS 3161,Supermarket
1/10/2018,MOCHA and LIME,Food
1/10/2018,MELETOS,Food
1/10/2018,Wild Grains Bakehouse,Food
1/09/2018,International Transaction Fee Rebate,International Fee
1/09/2018,International Transaction Fee,International Fee
1/09/2018,PAYPAL *SPOTIFY,Spotify
1/09/2018,COLES 0680,Supermarket
1/09/2018,COLES 0680,Supermarket
1/09/2018,Bonus Interest Credit,Interest
1/09/2018,Interest Credit,Interest
1/09/2018,Hightail,Food
1/09/2018,Mr Burger,Food
1/09/2018,COLES 0595,Supermarket
1/09/2018,KUAYBOY PTY LTD,Food
1/09/2018,RED DOOR FOODS P L,Food
1/09/2018,International Transaction Fee Rebate,International Fee
1/09/2018,International Transaction Fee,International Fee
1/09/2018,PRINCE ALFRED,Food
1/09/2018,MAJ CORPORATION PTY,Food
1/09/2018,RA CREATIVE HOSPITAL,Food
1/09/2018,myki-tnfr24SEP18 - Direct Debit,Myki
1/09/2018,OlaCabs,Taxi
1/09/2018,CREATIVE SHED PTY LT,Food
1/09/2018,Internal Transfer - Internal Transfer,Internal transfer
1/09/2018,Internal Transfer - Internal Transfer,Internal transfer
1/09/2018,Internal Transfer,Internal transfer
1/09/2018,Internal Transfer,Internal transfer
1/09/2018,Internal Transfer - Internal Transfer,Internal transfer
1/09/2018,Internal Transfer - Internal Transfer,Internal transfer
1/09/2018,CBA ATM  COLLINS SQUARE V IC 307497,Food
1/09/2018,Internal Transfer,Internal transfer
1/09/2018,Internal Transfer,Internal transfer
1/09/2018,Powershop - Direct Debit,Bills
1/09/2018,myki-tnfr20SEP18 - Direct Debit,Myki
1/09/2018,PEXA             MNTH RWAR01,Income
1/09/2018,Powershop - Direct Debit,Bills
1/09/2018,PAYPAL *KOGAN,Entertainment
1/09/2018,liquidity - Internal Transfer,Internal transfer
1/09/2018,WOOLWORTHS 3110,Supermarket
1/09/2018,EASEY ST SIDINGS PL,Food
1/09/2018,liquidity,Internal transfer
1/09/2018,dentist - Internal Transfer,Internal transfer
1/09/2018,WOOLWORTHS 3452,Supermarket
1/09/2018,PROPERTY EXCHANG T5640203513,Income
1/09/2018,dentist,Internal transfer
1/09/2018,myki-tnfr17SEP18 - Direct Debit,Myki
1/09/2018,OlaCabs,Taxi
1/09/2018,PAYPAL *UBER AU,Taxi
1/09/2018,ALDI STORES - EIG,Supermarket
1/09/2018,DISTRICT BREWER,Food
1/09/2018,PAPADAM DOCKLANDS,Food
1/09/2018,mum is expensive to cater for - Internal Transfer,Internal transfer
1/09/2018,MELBOURNE FRINGE,Entertainment
1/09/2018,Internal Transfer - Internal Transfer,Internal transfer
1/09/2018,mum is expensive to cater for,Internal transfer
1/09/2018,Internal Transfer,Internal transfer
1/09/2018,transfer - Internal Transfer,Internal transfer
1/09/2018,myki-tnfr13SEP18 - Direct Debit,Myki
1/09/2018,transfer,Internal transfer
1/09/2018,ORIGIN GAS - Direct Debit,Bills
1/09/2018,WOOLWORTHS 3762,Supermarket
1/09/2018,myki-tnfr10SEP18 - Direct Debit,Myki
1/09/2018,KARPOWICZ deliveroo rollerdeluxe - Ry... - Osko Payment to +61-400827478,Food
1/09/2018,JAK TRADING PTY LTD,Food
1/09/2018,WOOLWORTHS 3762,Supermarket
1/09/2018,myki-tnfr06SEP18 - Direct Debit,Myki
1/09/2018,MR Jane Doe spare car money - Deposit,Bills
1/09/2018,PAYPAL *UBER AU,Taxi
1/09/2018,PAYPAL *UBER AU,Taxi
1/09/2018,WOOLWORTHS 3089,Supermarket
1/09/2018,WOOLWORTHS 3452,Supermarket
1/09/2018,myki-tnfr03SEP18 - Direct Debit,Myki
1/09/2018,MS Jane Doe Bills - Deposit,Bills
1/09/2018,Jane Doe Regular expenses - Transfer to 923100 0062592471,Bills
1/09/2018,Jane Doe America mostly but also... - Transfer to 923100 0062592471,Bills
1/09/2018,PAYPAL *UBER AU,Taxi
1/09/2018,The Bank on Collins,Food
1/09/2018,MOLLY DENE,Food
1/08/2018,ALDI STORES - EIG,Supermarket
1/08/2018,Bonus Interest Credit,Interest
1/08/2018,Interest Credit,Interest
1/08/2018,KUAYBOY PTY LTD,Food
1/08/2018,PROPERTY EXCHANG T5640203514,Income
1/08/2018,METRO PETROLEUM MCK,Petrol
1/08/2018,ASIL TRADING PTY LTD,Food
1/08/2018,TheArtCentre,Food
1/08/2018,myki-tnfr28AUG18 - Direct Debit,Myki
1/08/2018,WOOLWORTHS 3452,Supermarket
1/08/2018,PAYPAL *UBER AU,Taxi
1/08/2018,bkgrocer 207Elizabeth,Food
1/08/2018,Powershop - Direct Debit,Bills
1/08/2018,myki-tnfr24AUG18 - Direct Debit,Myki
1/08/2018,PAYPAL *UBER AU,Taxi
1/08/2018,PAYPAL *UBER AU,Taxi
1/08/2018,GM CABS PTY LTD,Taxi
1/08/2018,TAXI COMBINED 133300,Food
1/08/2018,Internal Transfer - Internal Transfer,Internal transfer
1/08/2018,THE ACTIVE NETWORK INC,Food
1/08/2018,PAYPAL *UBER AU,Taxi
1/08/2018,Internal Transfer - Internal Transfer,Internal transfer
1/08/2018,Internal Transfer - Internal Transfer,Internal transfer
1/08/2018,Internal Transfer,Internal transfer
1/08/2018,Internal Transfer,Internal transfer
1/08/2018,Internal Transfer,Internal transfer
1/08/2018,CREATIVE SHED PTY LT,Food
1/08/2018,Powershop - Direct Debit,Bills
1/08/2018,myki-tnfr20AUG18 - Direct Debit,Myki
1/08/2018,SWAAD INDIA'S ZEST,Food
1/08/2018,ALDI STORES - EIG,Supermarket
1/08/2018,PEXA             MNTH RWAR01,Income
1/08/2018,THE BIG MEXICO PTY LTD,Food
1/08/2018,SUBWAY SWANSTON WALK,Food
1/08/2018,619 PTY LTD,Food
1/08/2018,myki-tnfr16AUG18 - Direct Debit,Myki
1/08/2018,ALDI STORES - EIG,Supermarket
1/08/2018,7-ELEVEN 1134,Food
1/08/2018,Priscilla Chan - PEXA Fi present - Ry... - Osko Payment to 013189 521573445,Food
1/08/2018,Mr Burger,Food
1/08/2018,PAPADAM DOCKLANDS,Food
1/08/2018,ORIGIN GAS - Direct Debit,Bills
1/08/2018,Powershop - Direct Debit,Bills
1/08/2018,International Transaction Fee Rebate,International Fee
1/08/2018,International Transaction Fee,International Fee
1/08/2018,FURUSATO SUSHI,Food
1/08/2018,International ATM Fee Rebate,International Fee
1/08/2018,International ATM Withdrawal Fee,International Fee
1/08/2018,International ATM Fee Rebate,International Fee
1/08/2018,1777 ALA MOANA BLVD,Food
1/08/2018,Antifa Funds - Transfer to Jane Doe,Food
1/08/2018,Powershop - Direct Debit,Bills
1/08/2018,International ATM Fee Rebate,International Fee
1/08/2018,International ATM Withdrawal Fee,International Fee
1/08/2018,International ATM Fee Rebate,International Fee
1/08/2018,1831 ALA MOANA BLVD,Food
1/08/2018,VJJ VENTURE PTY LTD,Food
1/08/2018,myki-tnfr03AUG18 - Direct Debit,Myki
1/08/2018,MR Jane DoeBillz billz billz ,Bills
1/08/2018,Powershop - Direct Debit,Bills
1/08/2018,myki-tnfr01AUG18 - Direct Debit,Myki
1/07/2018,Bonus Interest Credit,Interest
1/07/2018,Interest Credit,Interest
1/07/2018,PROPERTY EXCHANG T5640079805,Income
1/07/2018,myki-tnfr30JUL18 - Direct Debit,Myki
